gene1	gene2	pValue	oddsRatio	00	01	11	10	pAdj	Event	pair	event_ratio
PPP6C	CCND1	0.24923194134089044	4.6160541020644015	335	3	1	24	0.6572572292745026	Co_Occurence	CCND1, PPP6C	1/27
CTNNB1	RASA2	0.25388983090472106	2.168732412222321	311	26	4	22	0.660547810193728	Co_Occurence	CTNNB1, RASA2	4/48
RAC1	CDKN2A	0.2552607591554221	1.7600274384924453	288	49	6	20	0.660547810193728	Co_Occurence	CDKN2A, RAC1	6/69
RAC1	CCND1	0.25811677043744896	4.420021701385322	334	3	1	25	0.660547810193728	Co_Occurence	CCND1, RAC1	1/28
PIK3CA	MDM2	0.25893474159594115	4.19421501137693	338	4	1	20	0.660547810193728	Co_Occurence	MDM2, PIK3CA	1/24
CTNNB1	APC	0.2621662027677354	1.7189927331303454	287	50	6	20	0.663376019149128	Co_Occurence	APC, CTNNB1	6/70
MITF	NRAS	0.2654865605253046	2.221877995775296	245	110	4	4	0.6663819290293792	Co_Occurence	MITF, NRAS	4/114
KIT	NF1	0.2709355576423328	1.6781958925663971	281	59	6	17	0.6718423491611006	Co_Occurence	KIT, NF1	6/76
BRAF	PREX2	0.27196178294041345	1.3410096235750895	137	38	51	137	0.6718423491611006	Co_Occurence	BRAF, PREX2	51/175
NRAS	APC	0.2784446526404587	0.6906712720270034	207	42	14	100	0.6820919941337222	Mutually_Exclusive	APC, NRAS	14/142
MDM2	KIT	0.2804762279877866	3.793223115290747	336	22	1	4	0.6820919941337222	Co_Occurence	KIT, MDM2	1/26
APC	GNA11	0.28606386437007625	1.8869136135322508	295	12	4	52	0.6880444984240548	Co_Occurence	APC, GNA11	4/64
PTEN	CTNNB1	0.2873273825418852	1.8567646667733888	307	22	4	30	0.6880444984240548	Co_Occurence	CTNNB1, PTEN	4/52
PREX2	NRAS	0.29542640268112086	1.3134438231903436	192	82	32	57	0.7016064405964004	Co_Occurence	NRAS, PREX2	32/139
NRAS	MAP2K2	0.2974811308128737	2.23307183040138	244	5	5	109	0.7016064405964004	Co_Occurence	MAP2K2, NRAS	5/114
GNA11	PPP6C	0.30312680009429127	2.0073429396915285	324	23	2	14	0.709566479621469	Co_Occurence	GNA11, PPP6C	2/37
PIK3CA	PREX2	0.30953106788243356	1.5831524263058891	260	82	7	14	0.7132673871918609	Co_Occurence	PIK3CA, PREX2	7/96
BRAF	CDKN2A	0.3102020035714395	1.3544928129238738	152	23	32	156	0.7132673871918609	Co_Occurence	BRAF, CDKN2A	32/179
GNAQ	PTEN	0.3119268635362046	1.9888807961549193	319	32	2	10	0.7132673871918609	Co_Occurence	GNAQ, PTEN	2/42
KIT	PREX2	0.3142785189794354	1.7025572744639925	259	81	8	15	0.7132673871918609	Co_Occurence	KIT, PREX2	8/96
RAC1	GNA11	0.3202368003375015	1.918204270625448	323	14	2	24	0.7132673871918609	Co_Occurence	GNA11, RAC1	2/38
MITF	RB1	0.32128684134318103	3.011806783743881	339	16	1	7	0.7132673871918609	Co_Occurence	MITF, RB1	1/23
CDK4	RASA2	0.3246356528091129	1.9064186422510485	321	28	2	12	0.7132673871918609	Co_Occurence	CDK4, RASA2	2/40
PTEN	CCND1	0.3263874092247197	3.276000799368526	326	3	1	33	0.7132673871918609	Co_Occurence	CCND1, PTEN	1/36
